n r0 start_temp cooling_rate energy
0 4.242640687119286 1000 4 17.202205946529357
0 4.242640687119286 3000 4 17.207060487422595
1 4.242640687119286 1250 4 17.11179846372061
0 4.242640687119286 1500 4 17.15300110238695
0 4.242640687119286 2000 4 17.17767198127133
0 4.242640687119286 2500 4 17.216040597839125
1 4.242640687119286 1750 4 17.221017419523207
0 4.242640687119286 1250 7 17.225748314380766
0 4.242640687119286 2250 7 17.182901933056534
0 4.242640687119286 2750 7 17.111794985894818
0 4.242640687119286 1750 7 17.273299592928502
1 4.242640687119286 1000 7 17.17314362788534
1 4.242640687119286 1500 7 17.156558992489984
0 4.242640687119286 3000 5 17.15359342797582
0 4.242640687119286 1000 5 17.170748704060532
1 4.242640687119286 1250 5 17.188266286749304
0 4.242640687119286 2500 10 17.154253316739307
0 4.242640687119286 2500 5 17.214576442821027
0 4.242640687119286 1500 5 17.153294591653832
1 4.242640687119286 1750 5 17.122574491624526
0 4.242640687119286 2000 5 17.189723039686797
1 4.242640687119286 1250 10 17.12974253382818
1 4.242640687119286 1750 10 17.214748773205045
0 4.242640687119286 1500 10 17.143123350853326
0 4.242640687119286 1000 10 17.122964571933633
0 4.242640687119286 2000 10 17.172913094203253
0 4.242640687119286 3000 10 17.161177263000443
0 4.242640687119286 1750 13 17.132007413638135
1 4.242640687119286 1500 13 17.20147607686632
0 4.242640687119286 2750 13 17.237363764526005
0 4.242640687119286 2250 13 17.181731049199517
1 4.242640687119286 1000 13 17.205164381301643
0 4.242640687119286 1250 13 17.12263493277912
0 4.242640687119286 1250 8 17.12316467706325
0 4.242640687119286 2500 16 17.111786410019317
0 4.242640687119286 2250 8 17.114862578761993
0 4.242640687119286 3000 6 17.13140651928562
1 4.242640687119286 1250 6 17.185110415958977
0 4.242640687119286 1000 16 17.111796720907837
0 4.242640687119286 2750 8 17.1118351739022
1 4.242640687119286 1000 8 17.101318390591004
1 4.242640687119286 1500 8 17.154453340711967
0 4.242640687119286 1000 6 17.153118159719288
1 4.242640687119286 1750 6 17.184591871954147
0 4.242640687119286 1750 8 17.204760009973704
0 4.242640687119286 1500 16 17.19155132890188
1 4.242640687119286 1250 16 17.137353783433273
0 4.242640687119286 3000 16 17.173311241355698
0 4.242640687119286 2500 6 17.231685208873312
0 4.242640687119286 2000 16 17.2049907959556
0 4.242640687119286 1500 6 17.17276692295493
0 4.242640687119286 2000 6 17.1239467484263
1 4.242640687119286 1000 19 17.257855597052355
0 4.242640687119286 2250 19 17.153682736982944
0 4.242640687119286 1750 19 17.192471498112432
0 4.242640687119286 2750 19 17.152777628449698
0 4.242640687119286 1250 19 17.18708234634736
1 4.242640687119286 1500 19 17.132967262820692
0 4.242640687119286 2500 11 17.22831171033465
0 4.242640687119286 1000 22 17.162948475527408
0 4.242640687119286 2000 11 17.234795444950823
0 4.242640687119286 2000 22 17.150603007849043
0 4.242640687119286 1000 11 17.13209530296043
1 4.242640687119286 1250 11 17.11180771566849
1 4.242640687119286 1750 11 17.146055282293105
0 4.242640687119286 3000 11 17.257106617416603
1 4.242640687119286 1250 22 17.11179171720515
0 4.242640687119286 1500 11 17.175238795759995
0 4.242640687119286 1500 22 17.142564696710338
0 4.242640687119286 3000 22 17.225366706964472
0 4.242640687119286 3000 7 17.156812042113682
0 4.242640687119286 2500 22 17.213627605769993
1 4.242640687119286 1250 7 17.190699588741655
0 4.242640687119286 1000 7 17.202381132283122
1 4.242640687119286 1750 7 17.136756686618476
0 4.242640687119286 2250 9 17.199401397911256
0 4.242640687119286 2500 7 17.15705763430988
0 4.242640687119286 1500 7 17.172752003079303
0 4.242640687119286 1250 25 17.194678745359045
0 4.242640687119286 2000 7 17.208944418043263
0 4.242640687119286 1250 9 17.160015716929053
0 4.242640687119286 2750 9 17.18034275641659
1 4.242640687119286 1000 25 17.23918532090274
0 4.242640687119286 1750 25 17.1860403105674
1 4.242640687119286 1000 9 17.227326951710978
0 4.242640687119286 2250 25 17.215514452576578
0 4.242640687119286 2750 25 17.132009043202892
1 4.242640687119286 1500 25 17.173171560417977
1 4.242640687119286 1500 9 17.214126417575006
0 4.242640687119286 1750 9 17.231534770423295
1 4.242640687119286 1500 14 17.15273761874891
0 4.242640687119286 2250 14 17.191746101006967
0 4.242640687119286 2750 14 17.111773718556087
0 4.242640687119286 1250 14 17.185344954498234
0 4.242640687119286 1750 14 17.171253533441256
0 4.242640687119286 1500 28 17.10125944999529
1 4.242640687119286 1250 28 17.11177373403735
1 4.242640687119286 1000 14 17.243219508968537
0 4.242640687119286 2500 28 17.156070612608023
0 4.242640687119286 3000 28 17.13786857417876
0 4.242640687119286 2000 28 17.11177380665308
0 4.242640687119286 1000 28 17.153142894473298
1 4.242640687119286 1250 8 17.16220572661933
0 4.242640687119286 1000 8 17.164671905509223
0 4.242640687119286 3000 8 17.18687549739017
1 4.242640687119286 1750 8 17.101293492600824
0 4.242640687119286 2500 17 17.18912907880029
0 4.242640687119286 1500 8 17.20537561997377
0 4.242640687119286 2500 8 17.11685334272873
0 4.242640687119286 2000 12 17.111795806982506
0 4.242640687119286 2000 8 17.156143896650534
0 4.242640687119286 2500 12 17.101295428204978
0 4.242640687119286 1000 17 17.196406094991712
1 4.242640687119286 1250 17 17.193821282478115
0 4.242640687119286 1500 17 17.144406652884214
0 4.242640687119286 3000 17 17.142477366031166
0 4.242640687119286 1000 12 17.184280259391024
0 4.242640687119286 2000 17 17.131989474278477
0 4.242640687119286 2250 10 17.17630443857758
1 4.242640687119286 1250 12 17.21140150456582
0 4.242640687119286 2750 10 17.1734139114581
1 4.242640687119286 1750 12 17.10132362355478
0 4.242640687119286 1500 12 17.14279661375476
0 4.242640687119286 3000 12 17.209786359406365
1 4.242640687119286 1000 10 17.183831224262505
0 4.242640687119286 1250 10 17.141333975842123
1 4.242640687119286 1500 10 17.191300029035354
0 4.242640687119286 1750 10 17.177869346255797
1 4.242640687119286 1000 20 17.123201475468534
0 4.242640687119286 1750 20 17.111771055651534
0 4.242640687119286 2250 20 17.121232884825957
0 4.242640687119286 1250 20 17.262221448964993
0 4.242640687119286 1000 9 17.141274866056765
1 4.242640687119286 1500 20 17.17921965887431
0 4.242640687119286 2750 20 17.123042127067315
1 4.242640687119286 1250 9 17.155460715826994
0 4.242640687119286 3000 9 17.141217554069666
1 4.242640687119286 1750 9 17.15259044011475
1 4.242640687119286 1500 15 17.16297073809968
0 4.242640687119286 1500 9 17.22993024748606
0 4.242640687119286 2250 15 17.14129365153329
0 4.242640687119286 2500 9 17.16174360797
0 4.242640687119286 2000 9 17.166715352974457
0 4.242640687119286 2750 15 17.314431350280604
0 4.242640687119286 1000 23 17.174168009864182
0 4.242640687119286 1250 15 17.141190819759068
0 4.242640687119286 1750 15 17.131006818476433
