n r0 start_temp cooling_rate energy
0 4.242640687119286 2500 4 17.236908119484898
0 4.242640687119286 1000 4 17.223882670532493
2 4.242640687119286 1000 4 17.197129729493685
0 4.242640687119286 3000 4 17.208416643714777
1 4.242640687119286 1500 4 17.24612261278594
1 4.242640687119286 3000 4 17.132240831904237
1 4.242640687119286 2000 4 17.224523181410277
0 4.242640687119286 1500 4 17.185572584330153
0 4.242640687119286 2000 4 17.19673220522214
2 4.242640687119286 1500 4 17.117015095686526
1 4.242640687119286 1000 4 17.156002715172118
1 4.242640687119286 2500 4 17.16629220539032
1 4.242640687119286 1000 10 17.254072001933594
0 4.242640687119286 2500 10 17.1926767807033
2 4.242640687119286 1000 10 17.205614035159016
0 4.242640687119286 1500 10 17.174161811341474
0 4.242640687119286 1000 10 17.22928235589019
0 4.242640687119286 2000 10 17.178692628189857
0 4.242640687119286 3000 10 17.156408985512826
1 4.242640687119286 2500 10 17.130553930014393
1 4.242640687119286 2000 10 17.13101451500198
1 4.242640687119286 1500 10 17.101297260332096
1 4.242640687119286 3000 10 17.1399903990062
1 4.242640687119286 3000 7 17.269782525961464
2 4.242640687119286 1000 7 17.19330276958975
0 4.242640687119286 2500 7 17.111797537326908
0 4.242640687119286 1000 7 17.130741055671578
0 4.242640687119286 3000 7 17.18571060357447
1 4.242640687119286 1500 7 17.260592063104824
0 4.242640687119286 1500 7 17.15256111968634
1 4.242640687119286 2000 7 17.111770149479018
1 4.242640687119286 1000 7 17.196304954260942
2 4.242640687119286 1500 7 17.187153445937824
1 4.242640687119286 2500 7 17.15541392206609
0 4.242640687119286 2000 7 17.179670997340956
0 4.242640687119286 2500 16 17.217591096816456
2 4.242640687119286 1000 16 17.154672590731067
0 4.242640687119286 3000 16 17.22648246126517
0 4.242640687119286 1000 16 17.153881724086762
1 4.242640687119286 1000 16 17.164775704551978
0 4.242640687119286 1500 16 17.210967871486105
2 4.242640687119286 2000 4 17.221371398587834
1 4.242640687119286 1500 16 17.111799614144488
1 4.242640687119286 2000 16 17.20649445645736
0 4.242640687119286 2000 16 17.10128027403743
1 4.242640687119286 2500 16 17.17726778057122
2 4.242640687119286 2500 4 17.1426635968623
1 4.242640687119286 3000 16 17.156712960855756
0 4.242640687119286 1000 21 17.191134591620504
1 4.242640687119286 1500 21 17.23516559394629
1 4.242640687119286 2000 21 17.223244199083197
0 4.242640687119286 2000 21 17.222957345683056
2 4.242640687119286 1500 10 17.235535672169384
1 4.242640687119286 1000 21 17.198128548126338
2 4.242640687119286 1000 21 17.142006251707365
0 4.242640687119286 3000 21 17.252389552493312
0 4.242640687119286 2500 21 17.195724636391606
1 4.242640687119286 2500 21 17.12261695546453
0 4.242640687119286 1500 21 17.186484732378357
1 4.242640687119286 3000 21 17.144628313776238
