venv: /home/niflheim/s215142/thesis-venv/bin/activate
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:    0 18:43:28       12.829664        0.254918
BFGS:    1 18:43:28       12.829623        0.254917
BFGS:    2 18:43:29       12.818157        0.254519
BFGS:    3 18:43:29       12.815731        0.253994
BFGS:    4 18:43:29       12.822152        0.253320
BFGS:    5 18:43:29       12.832793        0.252690
BFGS:    6 18:43:29       12.819845        0.253513
BFGS:    7 18:43:29       12.814984        0.254241
BFGS:    8 18:43:29       12.818134        0.253649
BFGS:    9 18:43:29       12.828899        0.252816
BFGS:   10 18:43:29       12.821291        0.253376
BFGS:   11 18:43:30       12.815298        0.254173
BFGS:   12 18:43:30       12.821064        0.253371
BFGS:   13 18:43:30       12.832138        0.252546
BFGS:   14 18:43:30       12.821709        0.253328
BFGS:   15 18:43:30       12.816001        0.254110
BFGS:   16 18:43:30       12.821899        0.253297
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:    0 18:43:30       12.962540        0.257665
BFGS:   17 18:43:30       12.832674        0.252477
BFGS:    1 18:43:30       12.962408        0.257659
BFGS:   18 18:43:30       12.828737        0.252743
BFGS:    2 18:43:30       12.942496        0.256639
BFGS:   19 18:43:30       12.819926        0.253560
BFGS:    3 18:43:31       12.927041        0.255783
BFGS:   20 18:43:31       12.828753        0.252736
BFGS:    4 18:43:31       12.914452        0.255090
BFGS:   21 18:43:31       12.842429        0.251901
BFGS:    5 18:43:31       12.903744        0.254562
BFGS:   22 18:43:31       12.828740        0.252737
BFGS:    6 18:43:31       12.895027        0.254199
BFGS:   23 18:43:31       12.819960        0.253563
BFGS:    7 18:43:31       12.889461        0.254000
BFGS:   24 18:43:31       12.828739        0.252737
BFGS:    8 18:43:31       12.888530        0.253955
BFGS:   25 18:43:31       12.842397        0.251903
BFGS:    9 18:43:31       12.889479        0.253971
BFGS:   26 18:43:31       12.828709        0.252740
BFGS:   10 18:43:31       12.888752        0.253994
BFGS:   27 18:43:31       12.819943        0.253565
BFGS:   11 18:43:31       12.891296        0.254101
BFGS:   28 18:43:31       12.828722        0.252739
BFGS:   29 18:43:32       12.842402        0.251902
BFGS:   12 18:43:32       12.888022        0.253914
BFGS:   30 18:43:32       12.828707        0.252740
BFGS:   13 18:43:32       12.891982        0.253810
BFGS:   14 18:43:32       12.888927        0.253883
BFGS:   31 18:43:32       12.819945        0.253565
BFGS:   15 18:43:32       12.890211        0.254142
BFGS:   32 18:43:32       12.828736        0.252738
BFGS:   16 18:43:32       12.888757        0.253815
BFGS:   33 18:43:32       12.842450        0.251900
BFGS:   17 18:43:32       12.895509        0.253542
BFGS:   34 18:43:32       12.828738        0.252738
BFGS:   18 18:43:32       12.900740        0.253422
BFGS:   35 18:43:32       12.819967        0.253562
BFGS:   19 18:43:32       12.891781        0.253745
BFGS:   36 18:43:32       12.828785        0.252734
BFGS:   20 18:43:33       12.893170        0.253601
BFGS:   37 18:43:33       12.842546        0.251895
BFGS:   21 18:43:33       12.900373        0.252944
BFGS:   38 18:43:33       12.828806        0.252733
BFGS:   22 18:43:33       12.911989        0.252185
BFGS:   39 18:43:33       12.820013        0.253557
BFGS:   23 18:43:33       12.928814        0.251411
BFGS:   40 18:43:33       12.816113        0.254373
BFGS:   24 18:43:33       12.950827        0.250885
BFGS:   41 18:43:33       12.820021        0.253556
BFGS:   42 18:43:33       12.828870        0.252728
BFGS:   25 18:43:33       12.937887        0.251085
BFGS:   43 18:43:33       12.820011        0.253557
BFGS:   26 18:43:33       12.918409        0.251784
BFGS:   44 18:43:33       12.816116        0.254373
BFGS:   27 18:43:33       12.916225        0.251877
BFGS:   45 18:43:33       12.820025        0.253555
BFGS:   28 18:43:33       12.932043        0.251308
BFGS:   46 18:43:34       12.828895        0.252726
BFGS:   29 18:43:34       12.937484        0.251152
BFGS:   47 18:43:34       12.820023        0.253556
BFGS:   30 18:43:34       12.920300        0.251682
BFGS:   48 18:43:34       12.816124        0.254372
BFGS:   31 18:43:34       12.910419        0.252080
BFGS:   49 18:43:34       12.820045        0.253553
BFGS:   32 18:43:34       12.921461        0.251643
BFGS:   50 18:43:34       12.828945        0.252722
BFGS:   33 18:43:34       12.937859        0.251132
BFGS:   51 18:43:34       12.820051        0.253552
BFGS:   34 18:43:34       12.921628        0.251642
BFGS:   52 18:43:34       12.816137        0.254368
BFGS:   35 18:43:34       12.907132        0.252223
BFGS:   53 18:43:34       12.820081        0.253548
BFGS:   36 18:43:34       12.920429        0.251689
BFGS:   54 18:43:34       12.829023        0.252717
BFGS:   37 18:43:34       12.939669        0.251076
BFGS:   55 18:43:35       12.820096        0.253546
BFGS:   38 18:43:35       12.919700        0.251721
BFGS:   56 18:43:35       12.816154        0.254362
BFGS:   39 18:43:35       12.904274        0.252361
BFGS:   57 18:43:35       12.820135        0.253541
BFGS:   40 18:43:35       12.919537        0.251738
BFGS:   58 18:43:35       12.829132        0.252709
BFGS:   41 18:43:35       12.939922        0.251092
BFGS:   59 18:43:35       12.820159        0.253538
BFGS:   42 18:43:35       12.919588        0.251730
BFGS:   60 18:43:35       12.816177        0.254353
BFGS:   43 18:43:35       12.903812        0.252344
BFGS:   61 18:43:35       12.820209        0.253532
BFGS:   44 18:43:35       12.917718        0.251817
