1,2,3
4,5,6
4,7,5
8,9,10
11,12,13
14,13,12
15,16,17
18,19,20
21,19,18
22,23,24
25,22,24
26,27,28
29,28,27
30,14,12
16,15,31
32,31,15
5,1,33
5,34,1
35,36,9
10,9,36
37,36,38
39,37,38
11,40,41
11,41,12
42,29,43
44,22,45
46,47,48
49,50,45
49,45,22
51,52,13
24,14,25
44,53,23
44,23,22
54,50,46
45,50,54
50,30,46
41,46,30
55,20,56
34,2,1
42,2,34
38,45,54
36,44,45
38,36,45
49,14,30
49,25,14
25,49,22
40,57,41
58,3,59
58,60,3
49,30,50
61,60,62
26,40,27
57,40,26
46,48,39
46,39,54
37,39,63
39,64,63
41,30,12
41,47,46
57,47,41
65,58,66
57,26,48
47,57,48
67,26,28
48,26,67
54,39,38
67,64,48
39,48,64
6,5,33
4,6,8
60,68,62
69,70,71
72,69,71
64,67,73
53,29,27
74,31,32
74,32,75
65,60,58
68,60,65
61,6,33
61,43,6
5,7,34
73,34,7
42,34,73
64,73,76
67,42,73
67,28,42
29,42,28
63,76,10
64,76,63
7,4,76
7,76,73
4,8,10
76,4,10
44,36,35
62,43,61
62,42,43
37,63,10
36,37,10
77,15,17
6,43,8
8,43,9
43,53,9
29,53,43
53,44,9
35,9,44
33,3,60
33,60,61
1,3,33
23,78,79
80,56,17
80,17,21
59,81,82
58,59,82
83,20,84
19,84,20
65,66,18
77,56,20
77,17,56
79,78,85
79,85,13
86,55,56
80,86,56
77,83,87
88,21,17
88,19,21
89,84,90
89,91,84
18,92,21
92,80,21
86,80,92
16,88,17
42,59,2
86,66,93
86,92,66
66,92,18
74,94,31
93,58,82
66,58,93
3,2,59
42,62,81
59,42,81
62,68,81
68,18,81
68,65,18
83,95,87
83,84,95
87,95,32
87,32,15
91,96,97
91,89,96
75,95,91
75,32,95
83,77,20
77,87,15
82,55,93
82,81,55
86,93,55
20,55,18
81,18,55
84,91,95
72,98,69
72,99,98
88,16,100
89,90,27
89,27,40
52,51,99
52,99,96
52,11,13
52,89,11
52,96,89
84,19,90
88,90,19
16,94,100
16,31,94
53,27,90
23,53,90
74,99,72
74,75,99
97,99,75
51,98,99
100,94,71
70,100,71
78,23,90
51,13,98
85,98,13
24,23,79
13,14,79
24,79,14
89,40,11
99,97,96
98,85,69
85,78,69
94,72,71
94,74,72
69,78,70
90,70,78
75,91,97
90,88,70
100,70,88
