1,2,3
1,3,4
5,6,7
8,9,10
8,10,11
12,13,14
15,14,13
16,9,17
16,17,18
19,20,21
22,21,20
23,24,25
26,27,28
26,28,29
9,16,30
31,32,33
34,22,20
35,14,36
37,38,39
40,41,42
43,40,42
8,17,9
44,45,46
47,48,15
47,49,48
50,37,51
52,51,37
48,44,53
15,48,53
38,36,54
55,54,36
5,7,52
37,5,52
56,16,18
56,18,57
5,37,39
45,58,19
45,44,58
58,44,48
59,22,12
59,21,22
41,8,60
41,40,8
50,35,36
19,26,20
19,58,26
36,38,50
37,50,38
21,59,61
44,46,53
19,21,61
45,19,61
59,35,50
46,7,53
54,55,57
18,54,57
52,46,51
7,46,52
35,59,12
49,58,48
47,15,13
12,22,13
35,12,14
50,51,61
50,61,59
46,45,51
61,51,45
54,18,62
25,63,33
64,63,25
9,30,65
9,65,10
55,14,66
36,14,55
6,41,60
6,60,66
55,66,67
11,67,66
39,43,42
38,43,39
43,38,62
54,62,38
62,40,43
11,10,67
17,62,18
40,17,8
40,62,17
68,63,64
53,7,6
6,66,53
5,39,42
41,5,42
6,5,41
15,66,14
15,53,66
69,67,10
69,10,65
70,71,31
32,31,71
67,4,72
67,1,4
60,8,11
66,60,11
64,25,24
1,69,73
74,73,69
57,55,67
16,56,75
30,16,75
76,77,78
72,77,76
79,80,81
79,81,73
2,1,73
20,29,34
20,26,29
25,32,23
33,32,25
68,81,78
80,76,78
81,80,78
82,83,84
82,85,83
70,86,87
70,31,86
88,75,89
90,89,75
76,90,72
76,80,90
73,68,2
73,81,68
74,65,88
69,65,74
87,91,47
87,47,92
73,74,79
79,88,89
74,88,79
22,93,13
22,34,93
63,78,77
63,68,78
88,30,75
88,65,30
80,89,90
80,79,89
57,67,90
67,69,1
90,67,72
94,85,71
94,71,70
56,57,90
75,56,90
92,94,70
33,77,31
86,31,77
63,77,33
68,64,2
95,83,85
95,85,94
72,86,77
72,4,86
87,92,70
71,96,32
85,96,71
95,34,29
93,34,95
91,97,47
58,27,26
58,49,27
92,13,93
92,47,13
94,92,93
95,94,93
96,23,32
96,98,23
84,99,82
96,85,82
23,100,24
3,100,91
3,91,87
4,3,87
86,4,87
97,91,99
83,29,28
83,95,29
24,100,3
97,99,84
23,98,100
84,27,97
84,28,27
83,28,84
49,97,27
49,47,97
91,100,99
98,99,100
82,99,98
82,98,96
2,64,24
3,2,24
